,municipio,codEstacao,uf,nomeEstacao,latitude,longitude,datahora,valorMedida,semana,hora,data
340914,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 11:10:00,0.0,1,11,2025-01-04
340915,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 12:10:00,0.0,1,12,2025-01-04
340916,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 13:10:00,0.0,1,13,2025-01-04
340917,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 14:10:00,0.0,1,14,2025-01-04
340918,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 15:10:00,0.0,1,15,2025-01-04
340919,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 16:10:00,0.0,1,16,2025-01-04
340920,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 17:10:00,0.0,1,17,2025-01-04
340921,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 18:10:00,0.0,1,18,2025-01-04
340922,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 19:10:00,0.0,1,19,2025-01-04
340923,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 20:10:00,0.0,1,20,2025-01-04
340924,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 21:10:00,0.0,1,21,2025-01-04
340925,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 22:10:00,0.0,1,22,2025-01-04
340926,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 23:10:00,0.0,1,23,2025-01-04
340927,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 23:50:00,0.2,1,23,2025-01-04
340928,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-05 00:10:00,0.0,1,0,2025-01-05
340929,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-05 00:20:00,0.2,1,0,2025-01-05
340930,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-05 00:30:00,0.39,1,0,2025-01-05
340931,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-05 00:40:00,0.59,1,0,2025-01-05
340932,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-05 00:50:00,0.2,1,0,2025-01-05
340933,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-05 01:10:00,0.0,1,1,2025-01-05
340934,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-05 02:10:00,0.0,1,2,2025-01-05
340935,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-05 03:10:00,0.0,1,3,2025-01-05
340936,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-05 04:10:00,0.0,1,4,2025-01-05
340937,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-05 05:10:00,0.0,1,5,2025-01-05
340938,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-05 06:10:00,0.0,1,6,2025-01-05
340939,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-05 07:10:00,0.0,1,7,2025-01-05
340940,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-05 08:10:00,0.0,1,8,2025-01-05
340941,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-05 09:10:00,0.0,1,9,2025-01-05
340942,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-05 10:10:00,0.0,1,10,2025-01-05
340943,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-05 11:10:00,0.0,1,11,2025-01-05
340944,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-05 12:10:00,0.0,1,12,2025-01-05
